ID,Total_Suspension
3625800,79
3607320,40
3622050,238
3406030,330
3408610,791
3411580,65
3619110,65
3615360,65
3607650,10
3630660,31
3415090,59
3417760,34
3608010,65
3622650,82
3630780,359
3403120,55
3627060,66
3406060,422
3615180,148
3618270,65
3401860,65
3629240,11
3606840,60
3405250,1
3407890,125
3620700,767
3408220,571
3625260,23
3410810,85
3410470,51
3624750,65
3602370,52
3621330,62
3614430,40
3602920,32
3607110,8
3412060,61
3627450,24
3415630,9
3623520,328
3608160,95
3401470,65
3615510,70
3414310,68
3625650,38
3410050,33
3628680,25
3413050,757
3605460,40
3416290,2018
3606180,14
3480180,65
3628500,47
3624480,11
3627300,83
3607290,16
3607860,83
3415540,62
3606690,56
3413110,33
3606240,134
3417130,4
3626700,99
3610500,130
3412690,2269
3616980,135
3619020,132
3411400,22
3415120,32
3607980,344
3628740,31
3414430,15
3612270,225
3622290,21
3615090,43
3417500,38
3603930,197
3623160,30
3620820,914
3630690,49
3604200,6
3630990,5
3619680,147
3622560,24
3406390,17
3615980,55
3626880,47
3627000,44
3403000,209
3403450,2
3603180,17
3626370,15
3630630,201
3410110,113
3605580,137
3413530,334
3604110,39
3407260,6
3631800,56
3403780,34
3615570,186
3411970,19
3620160,4
3403990,76
3615390,141
3411760,25
5401320,251
4226760,42
2100390,125
5400750,227
4204860,22
2103810,140
4204080,105
4208550,38
4212030,42
4217640,26
2101920,99
2105400,124
4206960,403
4203000,2
2102300,8
4207560,86
4225950,153
4222050,12
4207200,34
4211190,40
4206590,102
4224510,74
2400660,634
5401530,77
2101260,198
2400300,588
4224030,24
2101650,128
4202280,1590
2104710,55
4202820,15
4200824,76
2102130,98
4214880,114
4210620,160
2100480,31
4218740,35
1000230,2493
2100840,94
2103870,111
2104290,81
4216890,61
4208280,9
4217520,137
2102010,320
4212930,20
2105490,39
2102460,11
4211820,57
2105880,114
4203420,7
4226390,1007
4280270,50
2103900,62
4209300,3380
4204710,16
1001530,608
4224000,176
2400600,811
2101200,245
4220040,5775
2104200,61
4216170,86
2105070,56
5401500,448
4218840,140
4215150,33
4218390,29
4223220,231
5400780,360
4222620,37
2100810,41
4219140,27
2400270,2144
4215360,17
4211160,25
4223790,33
2104250,176
2103330,16
4226580,68
4222470,44
5400990,144
4214100,41
4218660,9
4225980,331
2105430,92
4225170,12
4203390,6
2102160,124
4212840,151
4225680,306
2102340,49
2104980,18
4202590,145
4214550,28
2100270,107
4210230,65
2100660,72
2103690,15
4218930,9
4215210,41
4210870,39
2104080,31
4204590,158
2101020,207
2104110,81
5401050,247
4205340,65
4200752,253
5401410,43
4222560,78
4218750,24
4214940,948
5400690,540
4219200,196
4215810,23
2400360,71
4213500,59
4209660,4
4218300,98
4214190,11
4209990,18
2103180,98
1000021,65
2100300,83
5400840,1527
4204230,755
5400360,61
4222230,37
2103030,374
2100150,86
4222790,65
5400540,128
2100540,90
2103480,83
5400900,684
4213710,38
4222400,1750
4218580,65
4214730,20
5400150,117
4205880,35
2400510,8114
2100720,57
4205400,1139
5401200,178
4202010,21
4219650,153
2101950,163
4215240,117
2105790,95
4210860,194
5400420,345
5400270,95
4203330,409
4220550,91
4204140,35
4205010,229
4203180,45
4217730,6
1000170,201
4225200,40
4209120,112
2400240,1587
2102940,51
5401290,63
4221150,137
4217880,20
2103240,106
4221910,60
5401170,237
4215830,130
2103840,82
4223490,77
4219290,122
2101230,88
4221090,2058
2100120,57
4222260,13
5400510,538
4217010,73
2104440,504
4212540,89
4218900,39
4205640,129
5400090,309
4224360,17
2104140,76
4216290,53
4203688,87
2100570,149
4213440,485
4205760,155
4215510,75
4221840,10
4202440,250
4206660,252
4217280,313
4211760,92
4214850,39
2102250,296
5401560,129
1000680,814
4219050,80
4223820,52
5400240,116
2100030,205
5401650,330
4210590,66
4202670,70
4207080,374
4223640,53
4224320,1915
2101440,118
4226820,1730
2100070,95
4222740,195
2100081,146
4219350,68
2400120,6558
4226550,70
4212750,96
4226300,1113
4208850,736
4225140,65
4223010,402
4202040,185
2100510,671
4218990,10636
4222170,81
4211220,9
4202550,34
4211340,18
4217770,74
4207290,10
4221810,73
4214460,26
4212090,32
2105320,107
2103780,159
2104800,251
4218960,70
4214760,114
4224090,24
2105640,98
4215480,108
4289110,20
4218360,14
4223850,150
2102520,6
4218570,48
4210070,13
4224210,35
4219710,76
4203630,408
4213470,8
1000190,805
2100330,42
4209360,52
2100900,281
2400030,509
4218210,10
2103060,50
4214250,143
5400870,275
4224970,40
5400210,55
4204530,114
2102990,17256
4211310,12
4200833,379
4209540,47
5401470,415
4202100,43
4204050,30
4207540,36
4203870,140
4217310,82
4207650,63
4218510,125
4206860,27
4214580,94
4220310,25
4210920,227
4211730,13
2105160,126
2103540,40
4220580,7
4222530,16
4222600,87
2100360,24
4217430,55
2102710,529
4222830,381
4207530,139
2105730,177
4212480,64
4213020,34
4222060,21
4207230,120
5400300,784
4202490,11
4205910,686
4210980,38
4216020,5
4224650,74
2400330,1275
4211490,65
5401260,300
5400630,155
4218270,39
2101980,46
4219800,39
2400540,137
4204320,39
4211450,65
4213140,1246
4209600,40
5401080,45
4225590,35
5400660,264
2105100,152
4203450,11
1001850,211
2102860,392
2105610,83
4205550,924
4225290,161
2104950,169
5400030,103
4202400,58
2100990,59
4200044,40
4207110,108
4212600,43
4222770,54
2105940,6
4217790,46
4205860,733
2400060,3132
2105130,42
4203480,30
4202910,4
4218030,100
4222140,47
4221570,145
2103120,102
2101760,117
4203360,10
4212660,5
2400720,246
4213050,10
4207590,10
2104530,243
2102640,69
4206240,406
5400511,65
4216380,28
4226010,58
4212690,151
1000180,287
2101740,49
2100620,109
4203240,26
4211010,25
5401110,29
2100960,13
4206270,19
2101620,61
4221870,49
2103210,286
2103990,117
4215990,91
5400720,558
4211670,68
4215030,92
2102490,472
4213080,6
24SOP02,65
1000200,3606
4225650,31
4209780,22
4224820,64
2104770,69
4216740,415
4210740,14
2400150,452
2102670,25
4213110,65
4218450,72
1000080,374
4209270,88
4219170,2525
4212150,80
2102760,126
4216530,73
4223760,128
4224750,57
4203840,20
2102540,251
5401380,139
5400930,341
4205070,45
5400060,960
4215900,165
2101860,2436
4218590,369
1000022,65
4220970,35
4215750,393
4208670,563
4223040,13
2103510,74
1001080,365
2103390,97
4205490,218
2104020,59
4216110,44
4217610,224
4209090,124
4225830,294
4219500,795
2104170,25
2400480,2384
1001240,1627
2105260,281
4224480,61
4210350,36
4223550,79
4224300,10
5401590,65
5401020,74
4224060,15
2100870,79
2102580,70
4220730,54
4205040,68
2400390,1473
4202850,21
4222410,26
4222860,168
4221930,78
2105760,72
4220430,17
4204020,41
2104680,14
5401620,1097
2105550,101
4205430,159
4224960,31
2400570,598
4221330,249
4213980,46
4206360,37
4216500,775
5400960,85
4203960,65
4219680,520
4203750,25
4217370,117
4221690,9
5400120,218
4206840,76
4226070,43
4222320,41
5400390,387
4211580,2643
4219470,65
4220370,126
5400570,727
4204740,11
4221540,143
2104740,131
4220910,1
4207830,98
4221200,139
4208460,67
2105820,89
4215720,277
4218630,121
4217220,47
5400180,1582
2101110,58
4210440,30
4226250,132
4216410,437
4221240,236
2400450,197
2102040,59
2400690,2200
4225440,19
4224570,28
2103090,530
4220400,374
2104380,59
4224870,54
2104590,277
4208490,51
4204890,49
1000810,39
4203120,56
4220460,105
2104500,27
4211700,1494
4207710,82
4211790,299
4203600,55
4224150,124
4211420,205
2400180,154
4210950,409
4221270,65
4205160,80
2101050,76
4202790,44
4209570,3
2104890,97
4224540,53
4221660,15
4220640,39
4226460,641
5401350,207
4226610,21
4203210,120
4211940,145
2400210,494
2105580,88
4217670,64
4220100,261
4210380,52
4218810,32
4225740,53
4211400,67
4215330,139
4202480,62
4219020,114
1001300,1654
4216620,623
4215290,113
2400630,111
4223700,6
5401140,33
5401440,65
4203900,33
4221120,109
4218150,65
2104650,110
4217940,3
4216860,16
4207680,410
4222370,28
4215120,5
2103360,57
4224120,5
2101380,16
4216980,1318
4205190,154
4212725,85
4226850,90
4222380,110
5400600,3015
4217850,16
4209240,77
2103720,285
2100930,41
4214310,171
4226730,32
4202970,120
4203660,23
5400810,396
4220130,7
2106000,197
2103960,139
4212170,99
5401230,1829
4225080,82
4209480,69
4222350,46
4216200,302
4200030,27
4203300,19
2101680,23
4219890,69
4217760,30
2102220,12
2100750,699
4207320,31
4205370,19
4218090,64
4223970,20
4211880,39
2101500,14
4205310,120
4211610,88
4210650,36
2101710,52
1000790,361
4213770,26
2105970,21
4205460,21
2104560,80
4221420,42
2105700,28
2101320,23
2100210,33
4205700,145
4206480,221
4222440,70
4214790,68
2100630,41
2400090,3499
2101410,59
4203510,61
4204200,55
1001620,138
4226520,33
4225110,179
4219860,16
2104410,235
2105520,68
2102280,137
4213320,157
4210200,44
4206550,105
4206780,67
4208790,204
4208580,202
2103750,28
4224390,42
4218330,30
2102400,141
4214160,62
5400480,67
4289310,65
4215600,326
4213590,65
5400450,341
4222590,77
4202340,460
2101470,374
4215540,21
2103150,234
4210115,7
4224790,23
1001280,337
4219920,19
2101350,432
4217160,75
4224990,93
4208820,86
2104050,157
4202190,16
4223250,160
4203570,841
2400420,1037
2100690,33
4210710,64
2101150,583
3012840,2
4106740,331
5304980,23
1600720,10
200800,65
5300960,38
5303570,41
1602130,182
3200330,76
4104500,162
5306820,143
5304050,65
1602490,2
200090,11
200240,17
3003270,2
1601140,86
5300008,65
1600780,402
4101120,606
1603400,65
4107500,483
5305430,489
5302400,621
3014070,65
5307080,187
4111610,133
3027630,65
1601650,37
5300150,49
1601230,15
1602030,9
4109270,147
3200030,243
5301110,921
3017580,65
3025470,171
5304620,79
5301470,55
1600480,65
1603420,65
200862,12
5307710,1250
5304950,34
200660,6
200780,65
5308070,65
5300990,34
5304530,65
4100019,36
5302040,7
5301630,65
200210,112
5309780,139
5306990,9
1602910,41
4111450,96
5300030,187
200070,46
3200300,275
5309930,9
3014700,65
1600030,3
5303090,75
1601950,7
3023340,65
4109600,51
4103840,17
5306450,65
5307230,1015
1602370,14
5309630,11
5306840,55
200270,3
5301230,299
4111580,51
4110710,284
200570,34
5305850,503
3028470,65
5302910,68
1601800,39
200003,210
5300570,80
5303150,131
200100,30
3200360,780
1600930,143
5305250,65
5302130,65
3027270,3
3000654,1
3027930,65
5300330,29
1601470,16
5309240,5
200004,62
3200210,34
5309480,418
200120,24
5300390,67
4102840,108
5302970,16
4109330,194
5306300,1
5305460,65
1600815,53
1603240,422
4100023,824
200770,65
3004980,5
4103390,29
5306150,65
3200060,22937
5309300,7
5300240,65
5303210,65
5305760,262
5301140,366
4112320,50
1600060,65
1602580,1
5302280,347
5300300,839
4101830,24
5303930,1071
200007,2
4107230,28
5305880,19
4106510,56
3025950,4
5300420,65
1602550,13
4180180,2
4108820,173
3023670,1
3007410,17
4104950,43
3200480,5078
5305640,60
5300002,31
1603480,10
5302370,46
5306960,1126
3012420,71
4113490,83
4103860,4
5308910,65
5309450,351
5303960,1151
5305400,65
1601530,71
5303180,169
1600001,65
3018170,65
4111220,54
5308610,412
3200090,366
4111100,77
4110680,33
4101920,953
3016530,61
200510,655
4101230,22
3028020,65
5302310,228
3018540,200
4101980,771
4108720,93
3020850,21
5307260,65
200050,13
5305310,85
5305670,33
1602100,535
5306900,159
3009120,1
5306480,271
4101800,10
4105610,104
3200022,91
1600490,1
3016290,65
5308250,2422
1601050,15
5306060,44
4112240,185
5307320,452
4107020,455
4105910,377
4108550,16
4100020,132
3003750,65
5305790,222
5301170,199
4108650,37
5300001,137
4105100,51
4109630,120
3000031,65
5300480,1445
3013260,31
5302850,116
4110820,2013
4110890,224
200760,122
1603330,59
1602940,16
5303990,65
1601860,181
3003900,547
5300660,405
200180,2101
1602640,206
200020,591
5307830,100
200485,1
4108010,266
3024930,13
4108880,46
4101620,80
4102800,312
5301410,1526
1602670,233
5307380,65
5305160,43
5304260,222
1600300,65
4111940,93
5307770,293
5302670,795
5304860,961
4103990,34
5305130,135
5307470,65
1601290,2
5302940,678
200480,46
5305700,65
1600420,90
5310110,1696
5308100,20
4106820,65
5304830,16
5301260,65
5301200,65
1600270,124
5309360,186
4103480,67
4105670,74
3200180,12
5308940,51
5305020,4
5300380,326
4106300,188
5305370,82
4103720,56
5306570,723
5300810,92
200775,65
4110980,72
4109120,15
1603090,8
1601710,30
5300780,172
4100016,68
4109150,28
1601620,13
3024990,65
5304170,91
200700,6
4111040,48
1601980,4
4108160,47
5308190,65
4101710,91
5304560,39
4112930,16
5303660,103
200730,5
3022790,75
3000099,65
5305220,608
3028770,6
4103265,18
1603360,25
5304470,677
5307140,30
200390,339
5301080,236
5310170,58
5303510,35
4101660,27
5307110,100
5304020,56
4180505,65
4100009,9
4110520,201
3200120,395
1603060,19
5300840,78
3200240,39
5308130,161
4113350,41
4102640,111
4110040,1353
5309100,298
4108520,72
5308520,30
5305910,342
1601570,78
3200390,567
200060,65
5304410,65
3008280,13
200810,4
3016810,65
4100048,178
3012210,65
4108100,33
3200450,9
1601080,23
4102940,349
1601260,22
3011520,53
5304230,374
1600002,146
5301800,4
3025320,10
1600660,105
4102040,26
3019170,2
3002730,3
5309540,110
1600600,224
5307900,326
3200150,2
3011100,2
1602220,26
3008130,65
5308700,2790
4106900,410
4107280,23
5302610,53
5308020,243
5309660,393
5306240,65
5307020,58
3200510,60
5302460,100
4100014,19
4107080,248
5300010,65
5302070,110
5309810,5
4102490,45
5301590,30
5300950,65
200610,135
5305610,65
200520,60
5308460,81
4107590,18
4107200,125
4101560,20
5306690,254
1601590,210
3200270,4
1602250,119
5307650,25
4107380,400
4111720,200
4103660,217
200625,148
5308040,109
1602970,19
5300005,65
3021000,65
