ID,Category,Total
635250,Algebra_Early_Passed,843
635250,Algebra_Late,21
635250,Algebra_Late_Passed,8
605610,Algebra_Early,673
605610,Algebra_Early_Passed,296
605610,Algebra_Late,12
605610,Algebra_Late_Passed,1
600015,Algebra_Early,51
600015,Algebra_Early_Passed,51
600015,Algebra_Late,2
600015,Algebra_Late_Passed,2
634740,Algebra_Early,198
634740,Algebra_Early_Passed,154
634740,Algebra_Late,3
634740,Algebra_Late_Passed,<=2
608010,Algebra_Early,2062
608010,Algebra_Early_Passed,1733
608010,Algebra_Late,639
608010,Algebra_Late_Passed,610
634170,Algebra_Early,3346
634170,Algebra_Early_Passed,2099
634170,Algebra_Late,327
634170,Algebra_Late_Passed,135
691045,Algebra_Early,153
691045,Algebra_Early_Passed,119
691045,Algebra_Late,142
691045,Algebra_Late_Passed,131
616325,Algebra_Early,1284
616325,Algebra_Early_Passed,788
616325,Algebra_Late,114
616325,Algebra_Late_Passed,48
691111,Algebra_Early,4
691111,Algebra_Early_Passed,2
691111,Algebra_Late,1
691111,Algebra_Late_Passed,<=2
602700,Algebra_Early,435
602700,Algebra_Early_Passed,364
602700,Algebra_Late,36
602700,Algebra_Late_Passed,17
611460,Algebra_Early,1883
611460,Algebra_Early_Passed,1480
611460,Algebra_Late,87
611460,Algebra_Late_Passed,65
642000,Algebra_Early,836
642000,Algebra_Early_Passed,679
642000,Algebra_Late,257
642000,Algebra_Late_Passed,200
635880,Algebra_Early,0
635880,Algebra_Late,0
640300,Algebra_Early,243
640300,Algebra_Early_Passed,162
640300,Algebra_Late,66
640300,Algebra_Late_Passed,3
610680,Algebra_Early,4
610680,Algebra_Early_Passed,4
610680,Algebra_Late,0
610680,Algebra_Late_Passed,<=2
600009,Algebra_Early,14
600009,Algebra_Early_Passed,14
600009,Algebra_Late,0
600009,Algebra_Late_Passed,<=2
628470,Algebra_Early,0
628470,Algebra_Late,0
600022,Algebra_Early,171
600022,Algebra_Early_Passed,115
600022,Algebra_Late,19
600022,Algebra_Late_Passed,14
624500,Algebra_Early,636
624500,Algebra_Early_Passed,467
624500,Algebra_Late,68
624500,Algebra_Late_Passed,19
600051,Algebra_Early,225
600051,Algebra_Early_Passed,148
600051,Algebra_Late,101
