Lea State,LEA,ID,Category,Total
TX,VALLEY VIEW ISD,4843800,Discplined_Race,0
TX,VALLEY VIEW ISD,4843800,Reported_Race,0
TX,DAMON ISD,4816260,Discplined_Race,1
TX,DAMON ISD,4816260,Reported_Race,1
AR,BENTON SCHOOL DISTRICT,502960,Discplined_Race,0
AR,BENTON SCHOOL DISTRICT,502960,Reported_Race,0
AR,HIGHLAND SCHOOL DISTRICT,507770,Discplined_Race,0
AR,HIGHLAND SCHOOL DISTRICT,507770,Reported_Race,0
TX,FARMERSVILLE ISD,4819080,Discplined_Race,0
TX,FARMERSVILLE ISD,4819080,Reported_Race,0
TX,FRUITVALE ISD,4820070,Discplined_Race,0
TX,FRUITVALE ISD,4820070,Reported_Race,0
TX,WACO ISD,4844280,Discplined_Race,1
TX,WACO ISD,4844280,Reported_Race,1
LA,Washington Parish,2201860,Discplined_Race,0
LA,Washington Parish,2201860,Reported_Race,0
TX,FREDERICKSBURG ISD,4819840,Discplined_Race,0
TX,FREDERICKSBURG ISD,4819840,Reported_Race,0
TX,STAFFORD MSD,4841350,Discplined_Race,0
TX,STAFFORD MSD,4841350,Reported_Race,0
TX,ROYSE CITY ISD,4838220,Discplined_Race,0
TX,ROYSE CITY ISD,4838220,Reported_Race,0
TX,KILLEEN ISD,4825660,Discplined_Race,0
TX,KILLEEN ISD,4825660,Reported_Race,1
TX,NOCONA ISD,4832790,Discplined_Race,0
TX,NOCONA ISD,4832790,Reported_Race,0
TX,HARMONY SCIENCE ACAD (WACO),4800292,Discplined_Race,4
TX,HARMONY SCIENCE ACAD (WACO),4800292,Reported_Race,7
MS,PASCAGOULA-GAUTIER SCHOOL DIST,2803480,Discplined_Race,2
MS,PASCAGOULA-GAUTIER SCHOOL DIST,2803480,Reported_Race,1
TX,ANGLETON ISD,4808310,Discplined_Race,3
TX,ANGLETON ISD,4808310,Reported_Race,2
MS,NESHOBA COUNTY SCHOOL DISTRICT,2803060,Discplined_Race,1
MS,NESHOBA COUNTY SCHOOL DISTRICT,2803060,Reported_Race,1
TX,CLIFTON ISD,4814400,Discplined_Race,0
TX,CLIFTON ISD,4814400,Reported_Race,0
TX,NAVARRO ISD,4832160,Discplined_Race,0
TX,NAVARRO ISD,4832160,Reported_Race,0
TX,LYFORD CISD,4828620,Discplined_Race,0
TX,LYFORD CISD,4828620,Reported_Race,0
MS,AMITE COUNTY SCHOOL DISTRICT,2800420,Discplined_Race,0
MS,AMITE COUNTY SCHOOL DISTRICT,2800420,Reported_Race,0
TX,TWO DIMENSIONS PREPARATORY ACADEMY,4800069,Discplined_Race,0
TX,TWO DIMENSIONS PREPARATORY ACADEMY,4800069,Reported_Race,0
TX,KENNEDALE ISD,4825500,Discplined_Race,0
TX,KENNEDALE ISD,4825500,Reported_Race,0
TX,HAWKINS ISD,4822770,Discplined_Race,0
TX,HAWKINS ISD,4822770,Reported_Race,0
TX,FRANKSTON ISD,4819770,Discplined_Race,0
TX,FRANKSTON ISD,4819770,Reported_Race,0
MS,NORTH TIPPAH SCHOOL DIST,2803270,Discplined_Race,3
MS,NORTH TIPPAH SCHOOL DIST,2803270,Reported_Race,2
MS,MERIDIAN PUBLIC SCHOOLS,2802910,Discplined_Race,0
MS,MERIDIAN PUBLIC SCHOOLS,2802910,Reported_Race,0
TX,HARDIN ISD,4822380,Discplined_Race,0
TX,HARDIN ISD,4822380,Reported_Race,0
TX,VAN VLECK ISD,4843950,Discplined_Race,0
TX,VAN VLECK ISD,4843950,Reported_Race,0
TX,BLOOMINGTON ISD,4810500,Discplined_Race,0
TX,BLOOMINGTON ISD,4810500,Reported_Race,0
TX,SAN FELIPE-DEL RIO CISD,4838900,Discplined_Race,4
TX,SAN FELIPE-DEL RIO CISD,4838900,Reported_Race,2
TX,DIMMITT ISD,4817160,Discplined_Race,0
TX,DIMMITT ISD,4817160,Reported_Race,0
TX,PORT NECHES-GROVES ISD,4835430,Discplined_Race,0
TX,PORT NECHES-GROVES ISD,4835430,Reported_Race,0
TX,BOVINA ISD,4810950,Discplined_Race,0
TX,BOVINA ISD,4810950,Reported_Race,0
LA,Catahoula Parish,2200420,Discplined_Race,0
LA,Catahoula Parish,2200420,Reported_Race,0
MS,GRENADA SCHOOL DIST,2801680,Discplined_Race,0
MS,GRENADA SCHOOL DIST,2801680,Reported_Race,0
TX,LEON ISD,4827180,Discplined_Race,0
TX,LEON ISD,4827180,Reported_Race,0
TX,IDALOU ISD,4824120,Discplined_Race,0
TX,IDALOU ISD,4824120,Reported_Race,0
MS,ITAWAMBA COUNTY SCHOOL DIST,2802100,Discplined_Race,0
MS,ITAWAMBA COUNTY SCHOOL DIST,2802100,Reported_Race,0
TX,PEASTER ISD,4834500,Discplined_Race,0
TX,PEASTER ISD,4834500,Reported_Race,0
TX,MINEOLA ISD,4830930,Discplined_Race,0
TX,MINEOLA ISD,4830930,Reported_Race,0
TX,IDEA PUBLIC SCHOOLS,4800211,Discplined_Race,0
TX,IDEA PUBLIC SCHOOLS,4800211,Reported_Race,0
MS,TUPELO PUBLIC SCHOOL DIST,2804320,Discplined_Race,3
MS,TUPELO PUBLIC SCHOOL DIST,2804320,Reported_Race,3
TX,BASIS TEXAS,4801438,Discplined_Race,1
TX,BASIS TEXAS,4801438,Reported_Race,1
TX,GRUVER ISD,4821930,Discplined_Race,0
TX,GRUVER ISD,4821930,Reported_Race,0
TX,PASADENA ISD,4834320,Discplined_Race,1
TX,PASADENA ISD,4834320,Reported_Race,1
AR,LAKE HAMILTON SCHOOL DISTRICT,508610,Discplined_Race,0
AR,LAKE HAMILTON SCHOOL DISTRICT,508610,Reported_Race,0
TX,TEXAS JUVENILE JUSTICE DEPARTMENT,4801432,Discplined_Race,0
TX,TEXAS JUVENILE JUSTICE DEPARTMENT,4801432,Reported_Race,0
AR,BRYANT SCHOOL DISTRICT,503690,Discplined_Race,0
AR,BRYANT SCHOOL DISTRICT,503690,Reported_Race,0
TX,LIBERTY HILL ISD,4827420,Discplined_Race,3
TX,LIBERTY HILL ISD,4827420,Reported_Race,2
TX,CHANNELVIEW ISD,4813590,Discplined_Race,0
TX,CHANNELVIEW ISD,4813590,Reported_Race,0
TX,MOODY ISD,4831290,Discplined_Race,0
TX,MOODY ISD,4831290,Reported_Race,0
AR,MANSFIELD SCHOOL DISTRICT,509330,Discplined_Race,0
AR,MANSFIELD SCHOOL DISTRICT,509330,Reported_Race,0
TX,BLANCO ISD,4810320,Discplined_Race,0
TX,BLANCO ISD,4810320,Reported_Race,0
TX,LAKE DALLAS ISD,4826430,Discplined_Race,0
TX,LAKE DALLAS ISD,4826430,Reported_Race,0
TX,HONEY GROVE ISD,4823460,Discplined_Race,0
TX,HONEY GROVE ISD,4823460,Reported_Race,0
MS,EAST JASPER CONSOLIDATED SCH DIST,2801380,Discplined_Race,0
MS,EAST JASPER CONSOLIDATED SCH DIST,2801380,Reported_Race,0
TX,INGLESIDE ISD,4824180,Discplined_Race,0
TX,INGLESIDE ISD,4824180,Reported_Race,0
MS,UNION CO SCHOOL DIST,2804350,Discplined_Race,0
MS,UNION CO SCHOOL DIST,2804350,Reported_Race,0
AR,CORNING SCHOOL DISTRICT,500009,Discplined_Race,0
AR,CORNING SCHOOL DISTRICT,500009,Reported_Race,0
MS,GULFPORT SCHOOL DIST,2801710,Discplined_Race,10
MS,GULFPORT SCHOOL DIST,2801710,Reported_Race,11
TX,WHITE SETTLEMENT ISD,4845540,Discplined_Race,0
TX,WHITE SETTLEMENT ISD,4845540,Reported_Race,0
TX,WOODVILLE ISD,4846440,Discplined_Race,0
TX,WOODVILLE ISD,4846440,Reported_Race,0
TX,BRACKETT ISD,4811070,Discplined_Race,0
TX,BRACKETT ISD,4811070,Reported_Race,0
MS,MADISON CO SCHOOL DIST,2802790,Discplined_Race,0
MS,MADISON CO SCHOOL DIST,2802790,Reported_Race,0
TX,COMAL ISD,4814730,Discplined_Race,0
TX,COMAL ISD,4814730,Reported_Race,0
TX,PROSPER ISD,4836000,Discplined_Race,0
TX,PROSPER ISD,4836000,Reported_Race,0
AR,DOLLARWAY SCHOOL DISTRICT,505410,Discplined_Race,21
AR,DOLLARWAY SCHOOL DISTRICT,505410,Reported_Race,22
AR,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,500068,Discplined_Race,0
AR,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,500068,Reported_Race,0
TX,SAN SABA ISD,4839030,Discplined_Race,0
TX,SAN SABA ISD,4839030,Reported_Race,0
TX,HIGHLAND PARK ISD,4835560,Discplined_Race,0
TX,HIGHLAND PARK ISD,4835560,Reported_Race,0
TX,ANAHUAC ISD,4808190,Discplined_Race,0
TX,ANAHUAC ISD,4808190,Reported_Race,0
MS,QUITMAN SCHOOL DIST,2803780,Discplined_Race,0
MS,QUITMAN SCHOOL DIST,2803780,Reported_Race,0
TX,GEORGE WEST ISD,4820550,Discplined_Race,0
TX,GEORGE WEST ISD,4820550,Reported_Race,0
TX,WELLINGTON ISD,4844890,Discplined_Race,0
TX,WELLINGTON ISD,4844890,Reported_Race,0
MS,COLUMBUS MUNICIPAL SCHOOL DIST,2801200,Discplined_Race,3
MS,COLUMBUS MUNICIPAL SCHOOL DIST,2801200,Reported_Race,3
TX,HUNTSVILLE ISD,4824030,Discplined_Race,24
TX,HUNTSVILLE ISD,4824030,Reported_Race,23
MS,STONE CO SCHOOL DIST,2804170,Discplined_Race,0
MS,STONE CO SCHOOL DIST,2804170,Reported_Race,0
TX,GONZALES ISD,4821060,Discplined_Race,1
TX,GONZALES ISD,4821060,Reported_Race,1
MS,GEORGE CO SCHOOL DIST,2801560,Discplined_Race,2
MS,GEORGE CO SCHOOL DIST,2801560,Reported_Race,1
TX,HOUSTON ISD,4823640,Discplined_Race,0
TX,HOUSTON ISD,4823640,Reported_Race,4
TX,ROUND ROCK ISD,4838080,Discplined_Race,12
TX,ROUND ROCK ISD,4838080,Reported_Race,2
LA,Avoyelles Parish,2200150,Discplined_Race,0
LA,Avoyelles Parish,2200150,Reported_Race,0
AR,IZARD CO. CONS. SCHOOL DIST.,500021,Discplined_Race,0
AR,IZARD CO. CONS. SCHOOL DIST.,500021,Reported_Race,0
MS,WEST JASPER CONSOLIDATED SCHOOLS,2804590,Discplined_Race,0
MS,WEST JASPER CONSOLIDATED SCHOOLS,2804590,Reported_Race,0
TX,ROBSTOWN ISD,4837440,Discplined_Race,0
TX,ROBSTOWN ISD,4837440,Reported_Race,0
AR,GREEN FOREST SCHOOL DISTRICT,506870,Discplined_Race,0
