ID,Category,Total
2302640,Expulsions with educational services,0
2302640,Referral to law enforcement,21
2512000,Expulsions with educational services,0
2512000,Referral to law enforcement,59
2512270,Expulsions with educational services,0
2512270,Referral to law enforcement,0
2506090,Expulsions with educational services,0
2506090,Referral to law enforcement,1
5002820,Expulsions with educational services,0
5002820,Referral to law enforcement,0
4401200,Expulsions with educational services,0
4401200,Referral to law enforcement,0
900840,Expulsions with educational services,7
900840,Referral to law enforcement,12
902070,Expulsions with educational services,1
902070,Referral to law enforcement,5
2507500,Expulsions with educational services,0
2507500,Referral to law enforcement,2
903300,Expulsions with educational services,3
903300,Referral to law enforcement,4
3304680,Expulsions with educational services,0
3304680,Referral to law enforcement,6
2314789,Expulsions with educational services,0
2314789,Referral to law enforcement,0
901260,Expulsions with educational services,5
901260,Referral to law enforcement,8
2314560,Expulsions with educational services,0
2314560,Referral to law enforcement,0
903540,Expulsions with educational services,0
903540,Referral to law enforcement,0
3304740,Expulsions with educational services,0
3304740,Referral to law enforcement,37
4400090,Expulsions with educational services,0
4400090,Referral to law enforcement,6
900360,Expulsions with educational services,0
900360,Referral to law enforcement,1
3306240,Expulsions with educational services,0
3306240,Referral to law enforcement,0
900002,Expulsions with educational services,64
900002,Referral to law enforcement,153
2511430,Expulsions with educational services,0
2511430,Referral to law enforcement,25
2310860,Expulsions with educational services,1
2310860,Referral to law enforcement,0
2501980,Expulsions with educational services,0
2501980,Referral to law enforcement,0
3303289,Expulsions with educational services,0
3303289,Referral to law enforcement,2
2314791,Expulsions with educational services,0
2314791,Referral to law enforcement,0
2509990,Expulsions with educational services,0
2509990,Referral to law enforcement,4
2504590,Expulsions with educational services,0
2504590,Referral to law enforcement,0
2314795,Expulsions with educational services,0
2314795,Referral to law enforcement,0
5000400,Expulsions with educational services,0
5000400,Referral to law enforcement,3
2306510,Expulsions with educational services,0
2306510,Referral to law enforcement,13
2505010,Expulsions with educational services,0
2505010,Referral to law enforcement,0
2504830,Expulsions with educational services,5
2504830,Referral to law enforcement,16
2314779,Expulsions with educational services,0
2314779,Referral to law enforcement,39
904110,Expulsions with educational services,1
904110,Referral to law enforcement,0
3306540,Expulsions with educational services,0
3306540,Referral to law enforcement,0
903660,Expulsions with educational services,0
903660,Referral to law enforcement,16
5002130,Expulsions with educational services,0
5002130,Referral to law enforcement,0
2504360,Expulsions with educational services,0
2504360,Referral to law enforcement,1
2513110,Expulsions with educational services,0
2513110,Referral to law enforcement,0
2512510,Expulsions with educational services,0
2512510,Referral to law enforcement,6
2508940,Expulsions with educational services,0
2508940,Referral to law enforcement,44
900330,Expulsions with educational services,6
