Lea State,LEA,ID,Category,Total
CT,WEST HARTFORD SCHOOL DISTRICT,904920,Participants on single-sex teams,458
CT,WOLCOTT SCHOOL DISTRICT,905280,Single-sex teams,5
CT,WOLCOTT SCHOOL DISTRICT,905280,Participants on single-sex teams,123
NH,Kearsarge Regional School District,3304040,Single-sex teams,18
NH,Kearsarge Regional School District,3304040,Participants on single-sex teams,250
MA,Sandwich,2510470,Single-sex teams,16
MA,Sandwich,2510470,Participants on single-sex teams,217
ME,RSU 03/MSAD 03,2311520,Single-sex teams,19
ME,RSU 03/MSAD 03,2311520,Participants on single-sex teams,157
CT,CLINTON SCHOOL DISTRICT,900810,Single-sex teams,38
CT,CLINTON SCHOOL DISTRICT,900810,Participants on single-sex teams,320
MA,Dartmouth,2504020,Single-sex teams,52
MA,Dartmouth,2504020,Participants on single-sex teams,936
MA,Mohawk Trail,2507990,Single-sex teams,36
MA,Mohawk Trail,2507990,Participants on single-sex teams,173
MA,Berkshire Hills,2502530,Single-sex teams,21
MA,Berkshire Hills,2502530,Participants on single-sex teams,352
MA,Pentucket Regional School District,2509450,Single-sex teams,46
MA,Pentucket Regional School District,2509450,Participants on single-sex teams,821
ME,RSU 29/MSAD 29,2311160,Single-sex teams,12
ME,RSU 29/MSAD 29,2311160,Participants on single-sex teams,71
CT,FARMINGTON SCHOOL DISTRICT,901560,Single-sex teams,67
CT,FARMINGTON SCHOOL DISTRICT,901560,Participants on single-sex teams,1152
MA,Granby,2505400,Single-sex teams,30
MA,Granby,2505400,Participants on single-sex teams,267
ME,RSU 02,2314776,Single-sex teams,32
ME,RSU 02,2314776,Participants on single-sex teams,442
CT,MADISON SCHOOL DISTRICT,902280,Single-sex teams,29
CT,MADISON SCHOOL DISTRICT,902280,Participants on single-sex teams,813
CT,WALLINGFORD SCHOOL DISTRICT,904740,Single-sex teams,48
CT,WALLINGFORD SCHOOL DISTRICT,904740,Participants on single-sex teams,1443
MA,Swansea,2511460,Single-sex teams,17
MA,Swansea,2511460,Participants on single-sex teams,427
CT,CROMWELL SCHOOL DISTRICT,900990,Single-sex teams,31
CT,CROMWELL SCHOOL DISTRICT,900990,Participants on single-sex teams,281
ME,Yarmouth Schools,2314100,Single-sex teams,19
ME,Yarmouth Schools,2314100,Participants on single-sex teams,312
